,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,55.56,-3.23,-0.12,27.34,32.06,29.51,27.74,-0.11,0.72,1.89
K MEANS++,69.44,35.29,50.12,57.94,75.00,65.37,58.33,-0.13,0.51,2.00
K MEANS BISECT,86.11,64.29,69.17,77.25,80.00,78.60,73.79,-0.01,2.02,1.44
HIERARCHY,69.44,35.29,50.12,57.94,75.00,65.37,58.33,-0.13,0.51,2.00
FUZZY_C,47.22,-11.76,-14.41,4.59,7.34,5.65,25.00,-0.02,0.91,2.58
SPECTRAL,63.89,7.14,12.56,38.63,40.00,39.30,31.62,0.00,2.00,1.82
DBSCAN AUTO,72.22,31.03,41.65,65.97,63.07,64.49,50.25,-0.07,2.08,1.51
DBSCAN MANUAL,69.44,8.33,10.93,52.65,42.25,46.88,27.22,-0.15,1.04,1.92
HDBSCAN MANUAL,69.44,35.29,50.12,57.94,75.00,65.37,58.33,-0.13,0.51,2.00
MEAN SHIFT,72.22,-5.26,-6.55,85.98,46.23,60.13,0.00,-0.07,0.93,0.74
OPTICS AUTO,52.78,15.00,24.27,28.90,59.95,39.00,49.75,-0.11,0.51,2.42
AFFINITY,66.67,27.27,35.03,57.94,63.48,60.58,51.64,-0.20,0.42,1.26
BIRCH,69.44,35.29,50.12,57.94,75.00,65.37,58.33,-0.13,0.51,2.00
