,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,60.33,-1.53,0.20,6.34,10.65,7.95,21.49,-0.01,7.84,2.71
K MEANS++,60.33,-1.53,0.20,6.34,10.65,7.95,21.49,-0.01,7.84,2.71
K MEANS BISECT,60.41,-2.03,-0.28,5.98,9.99,7.48,20.95,-0.02,6.82,2.93
HIERARCHY,60.33,-1.53,0.20,6.34,10.65,7.95,21.49,-0.01,7.84,2.71
FUZZY_C,61.69,-1.61,-0.81,5.52,9.02,6.85,20.77,-0.01,7.01,2.92
SPECTRAL,62.82,0.97,1.29,7.08,11.53,8.77,22.90,-0.06,1.41,6.18
DBSCAN AUTO,56.33,-0.05,6.42,17.55,27.30,21.37,24.84,-0.12,4.29,1.92
DBSCAN MANUAL,67.42,4.84,12.10,24.43,30.18,27.00,24.43,-0.14,1.51,3.44
HDBSCAN MANUAL,44.95,-2.76,-4.58,0.03,0.10,0.05,26.35,0.20,13.47,1.80
MEAN SHIFT,54.60,-1.70,-2.32,9.30,16.45,11.88,23.82,-0.14,3.09,1.31
OPTICS AUTO,46.91,-2.52,-4.22,2.23,5.54,3.18,25.92,0.18,8.57,1.48
AFFINITY,73.08,3.78,11.51,25.55,27.14,26.32,19.87,-0.09,3.77,3.59
BIRCH,70.51,0.94,9.05,23.38,25.74,24.50,18.61,-0.10,3.85,3.27
