,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,71.08,-1.47,-1.20,6.45,6.78,6.61,15.92,0.41,115.51,0.81
K MEANS++,70.95,-1.52,-1.29,6.38,6.72,6.54,15.95,0.42,115.67,0.81
K MEANS BISECT,70.86,-1.27,-0.93,6.73,7.13,6.92,16.28,0.40,110.09,0.82
HIERARCHY,71.43,0.23,1.65,9.11,9.51,9.30,17.43,0.36,101.03,0.82
FUZZY_C,72.69,-0.57,0.26,7.75,7.82,7.79,15.72,0.38,108.85,0.91
SPECTRAL,72.22,-0.94,-1.19,6.45,6.58,6.52,15.68,0.38,98.36,0.86
DBSCAN AUTO,49.65,-1.28,-2.08,4.17,8.63,5.63,26.98,0.12,21.39,0.59
DBSCAN MANUAL,67.95,-1.49,-1.36,8.11,8.73,8.41,17.90,0.16,28.41,2.34
HDBSCAN MANUAL,79.12,0.22,2.65,34.81,21.97,26.94,11.02,0.18,15.43,2.02
MEAN SHIFT,70.93,-0.40,0.42,8.19,8.77,8.47,17.11,0.37,92.84,0.67
OPTICS AUTO,63.24,-0.54,-1.70,9.86,11.03,10.41,21.51,-0.07,11.77,1.69
AFFINITY,74.30,-0.95,0.09,10.27,9.40,9.82,14.11,0.38,104.28,0.80
BIRCH,71.70,2.25,5.34,12.16,13.02,12.58,19.32,0.01,22.78,5.58
