,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,77.14,47.57,56.44,58.00,58.05,58.02,64.41,0.40,45.68,0.87
K MEANS++,77.14,47.57,56.44,58.00,58.05,58.02,64.41,0.40,45.68,0.87
K MEANS BISECT,77.65,49.78,58.37,58.87,61.01,59.92,66.57,0.38,41.62,0.88
HIERARCHY,76.78,47.21,56.38,57.53,58.43,57.98,64.45,0.39,43.59,0.86
FUZZY_C,76.78,46.90,52.26,53.84,54.16,54.00,64.05,0.38,45.18,0.91
SPECTRAL,72.50,44.82,59.39,54.05,70.54,61.20,67.89,0.25,17.24,0.89
DBSCAN AUTO,46.01,1.59,12.62,16.33,24.33,19.54,46.12,0.10,8.21,1.60
DBSCAN MANUAL,72.79,38.61,52.38,57.26,53.09,55.10,58.96,0.28,11.27,5.28
HDBSCAN MANUAL,72.71,33.06,45.14,57.13,42.72,48.88,52.05,0.23,10.69,3.75
MEAN SHIFT,72.28,28.34,41.40,60.37,38.32,46.88,46.86,0.31,43.95,0.89
OPTICS AUTO,72.21,31.16,39.08,54.01,37.46,44.24,50.33,0.08,8.45,4.15
AFFINITY,74.82,34.77,47.11,67.20,42.47,52.05,51.94,0.35,45.36,0.76
BIRCH,73.51,40.53,44.23,45.44,47.24,46.32,60.42,0.16,17.63,1.98
