,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,51.47,2.60,1.63,6.24,6.24,6.24,48.44,0.36,13.24,0.99
K MEANS++,51.47,2.60,1.63,6.24,6.24,6.24,48.44,0.36,13.24,0.99
K MEANS BISECT,48.53,-2.76,-1.90,3.03,3.22,3.12,47.81,0.40,11.64,0.92
HIERARCHY,48.53,-2.76,-1.90,3.03,3.22,3.12,47.81,0.40,11.64,0.92
FUZZY_C,55.88,11.46,8.71,12.99,12.99,12.99,53.12,0.35,12.34,1.00
SPECTRAL,47.06,-5.15,-4.85,0.61,0.69,0.65,48.75,0.35,7.54,0.87
DBSCAN AUTO,50.00,-2.48,-2.93,6.39,4.03,4.94,35.58,0.24,3.63,5.76
DBSCAN MANUAL,50.00,-2.12,-2.53,7.21,4.72,5.71,37.69,0.35,4.25,2.56
HDBSCAN MANUAL,47.06,-6.99,-9.82,0.61,0.45,0.52,40.09,0.34,3.98,3.54
MEAN SHIFT,47.79,-4.68,-4.30,6.89,5.89,6.35,44.96,0.40,10.43,0.58
OPTICS AUTO,47.06,-6.99,-9.82,0.61,0.45,0.52,40.09,0.34,3.98,3.54
AFFINITY,51.47,-0.72,2.93,26.50,12.22,16.73,29.42,0.42,23.01,0.64
BIRCH,47.06,-5.15,-4.85,0.61,0.69,0.65,48.75,0.35,7.54,0.87
