,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,55.63,11.19,8.29,10.27,10.27,10.27,54.33,0.10,6.19,2.05
K MEANS++,55.63,11.19,8.29,10.27,10.27,10.27,54.33,0.10,6.19,2.05
K MEANS BISECT,53.61,7.17,5.41,7.44,7.48,7.46,52.41,0.07,5.45,2.16
HIERARCHY,55.63,11.19,8.29,10.27,10.27,10.27,54.33,0.10,6.19,2.05
FUZZY_C,57.98,15.90,11.76,13.66,13.66,13.66,56.75,0.11,6.34,2.06
SPECTRAL,55.63,11.19,8.29,10.27,10.27,10.27,54.33,0.13,7.77,1.82
DBSCAN AUTO,60.34,19.73,23.98,46.42,23.23,30.97,50.69,-0.18,2.92,2.94
DBSCAN MANUAL,58.66,16.55,15.53,23.36,15.28,18.48,50.78,-0.00,5.11,6.05
HDBSCAN MANUAL,54.29,7.59,7.20,13.37,8.44,10.35,43.88,-0.01,4.23,6.08
MEAN SHIFT,48.57,-0.32,-0.21,2.80,14.95,4.72,67.55,-0.26,0.47,1.29
OPTICS AUTO,48.91,0.34,0.22,3.04,16.25,5.13,67.80,-0.02,0.46,1.29
AFFINITY,66.55,31.98,40.42,74.31,32.17,44.90,56.52,-0.14,8.19,3.85
BIRCH,54.62,9.03,6.50,11.76,10.17,10.90,51.98,-0.22,3.10,1.89
