,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,53.37,6.77,5.15,5.74,5.91,5.82,53.87,0.43,109.36,0.87
K MEANS++,53.37,6.77,5.15,5.74,5.91,5.82,53.87,0.43,109.36,0.87
K MEANS BISECT,53.37,6.77,5.15,5.74,5.91,5.82,53.87,0.43,109.36,0.87
HIERARCHY,55.13,10.48,12.16,11.51,14.53,12.84,60.71,0.38,76.80,0.80
FUZZY_C,54.51,9.03,6.80,7.38,7.52,7.45,54.68,0.42,108.00,0.88
SPECTRAL,49.56,-0.78,-0.68,0.05,0.06,0.05,51.88,0.36,58.40,1.01
DBSCAN AUTO,49.56,-0.91,-0.92,0.47,0.40,0.43,48.62,0.36,39.50,1.44
DBSCAN MANUAL,49.56,-0.87,-0.76,0.73,0.65,0.69,49.47,0.37,35.88,1.72
HDBSCAN MANUAL,50.84,1.48,2.34,4.24,2.92,3.46,44.86,0.26,22.94,2.89
MEAN SHIFT,54.91,9.40,14.54,24.81,12.06,16.23,42.18,0.40,92.21,0.81
OPTICS AUTO,49.67,-0.65,-0.72,0.70,0.60,0.65,49.69,0.34,33.75,1.55
AFFINITY,55.51,10.41,14.15,31.56,11.19,16.52,36.13,0.38,104.28,0.80
BIRCH,49.98,-0.30,-0.05,1.34,0.90,1.07,42.21,0.24,51.25,1.29
