,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,86.12,68.73,72.22,72.15,74.42,73.27,79.14,-0.01,7.84,2.71
K MEANS++,86.12,68.73,72.22,72.15,74.42,73.27,79.14,-0.01,7.84,2.71
K MEANS BISECT,81.22,57.55,62.53,63.11,64.81,63.95,71.57,-0.02,6.82,2.93
HIERARCHY,86.12,68.73,72.22,72.15,74.42,73.27,79.14,-0.01,7.84,2.71
FUZZY_C,82.65,60.28,57.93,59.37,59.61,59.49,73.07,-0.01,7.01,2.92
SPECTRAL,55.88,-1.22,-1.10,2.65,2.65,2.65,31.26,-0.06,1.41,6.18
DBSCAN AUTO,73.91,42.66,57.16,60.83,58.68,59.73,62.66,-0.02,5.37,3.56
DBSCAN MANUAL,70.44,31.36,43.42,49.76,43.76,46.57,52.90,-0.03,3.12,4.85
HDBSCAN MANUAL,74.36,50.54,63.62,50.78,88.25,64.47,73.20,0.20,13.47,1.80
MEAN SHIFT,73.98,48.05,55.52,45.79,73.82,56.52,70.11,0.15,12.12,1.92
OPTICS AUTO,76.92,54.68,69.58,58.73,89.67,70.98,74.96,0.18,8.57,1.48
AFFINITY,86.88,70.28,72.80,72.96,74.71,73.82,80.07,-0.02,7.95,2.82
BIRCH,86.12,68.73,72.22,72.15,74.42,73.27,79.14,-0.01,7.84,2.71
