,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,77.00,47.94,52.66,53.32,53.70,53.51,65.09,0.42,100.51,0.93
K MEANS++,77.00,47.94,52.66,53.32,53.70,53.51,65.09,0.42,100.51,0.93
K MEANS BISECT,63.28,19.76,23.32,23.79,25.80,24.75,48.01,0.35,84.11,1.13
HIERARCHY,77.31,49.10,55.01,55.17,56.48,55.82,66.18,0.38,91.70,0.96
FUZZY_C,77.71,49.36,54.85,55.65,55.66,55.66,65.92,0.40,98.90,0.96
SPECTRAL,71.94,43.39,60.82,55.36,69.45,61.61,66.85,0.31,46.78,0.83
DBSCAN AUTO,76.98,53.84,65.50,58.69,77.31,66.72,73.61,0.31,24.99,2.60
DBSCAN MANUAL,77.64,55.34,68.37,60.34,81.95,69.50,74.72,0.31,24.81,3.17
HDBSCAN MANUAL,71.30,39.52,51.90,52.43,54.14,53.27,62.45,0.29,32.09,1.50
MEAN SHIFT,74.16,47.70,52.40,46.30,63.32,53.49,69.40,0.36,54.69,0.89
OPTICS AUTO,77.29,47.24,55.88,61.49,53.11,57.00,63.78,0.23,40.68,1.24
AFFINITY,33.35,0.00,0.00,0.96,19.62,1.83,56.63,-0.16,0.43,1.37
BIRCH,79.23,54.10,58.87,58.03,61.32,59.63,69.98,0.24,51.25,1.29
